medinc,GEOID
39444,06007001704
36711,06007001800
56098,06007001900
55417,06007002000
44796,06007002100
47639,06007002200
42865,06007002300
36297,06007002400
32850,06007002500
62841,06007002601
45018,06007002602
49099,06007002700
25874,06007002800
53295,06007002900
29821,06007003001
39508,06007003002
49167,06007003100
32396,06007003200
43125,06007003300
58079,06007003400
62681,06007003501
45995,06007003502
60701,06007003600
30770,06007003700
77750,06009000120
52271,06009000121
47851,06009000122
81216,06009000210
59874,06009000220
40329,06009000300
35517,06009000400
53348,06009000501
64243,06009000503
42500,06009000504
64885,06011000100
44180,06011000200
61607,06011000300
53239,06011000400
53015,06011000500
75607,06013301000
55809,06013302005
101923,06013302006
73811,06013302007
111788,06013302008
104485,06013302009
115057,06013302010
120394,06013303102
79817,06013303103
108125,06013303201
119318,06013303202
119173,06013303203
72847,06013303204
95270,06013303205
135271,06013304001
69097,06013304002
104602,06013304003
112708,06013304004
118750,06013304005
45701,06013305000
74688,06013306002
58417,06013306003
66455,06013306004
61972,06013307101
47184,06013307102
52261,06013307201
37199,06013307202
68711,06013307204
41042,06013307205
67734,06013308001
92984,06013308002
61892,06013309000
55328,06013310000
62298,06013311000
34293,06013312000
53202,06013313101
71020,06013313102
97375,06013313103
88804,06013313203
76333,06013313204
93917,06013313205
61824,06013313206
64123,06013314102
48007,06013314103
47778,06013314104
53125,06013314200
81756,06013315000
32554,06013316000
54655,06013317000
86823,06013318000
92575,06013319000
82969,06013320001
125952,06013320003
102879,06013320004
110957,06013321101
125129,06013321102
120250,06013321103
81804,06013321200
118254,06013322000
113785,06013323000
89048,06013324001
112689,06013324002
104880,06013325000
142602,06013326000
62648,06013327000
45403,06013328000
86076,06013329000
81462,06013330000
68663,06013331000
102593,06013332000
97663,06013333101
89736,06013333102
109434,06013333200
71958,06013334001
66458,06013334004
123138,06013334006
150147,06013334200
85134,06013335000
66250,06013336101
44181,06013336102
62554,06013336201
45573,06013336202
125016,06013337100
76927,06013337200
127860,06013337300
72070,06013338101
108387,06013338102
106087,06013338201
99712,06013338203
114896,06013338204
164861,06013338301
174634,06013338302
79246,06013339001
87801,06013339002
75705,06013340001
