timestamp,UTC time,latitude,longitude,altitude,accuracy
1619309710541,2021-04-25T00:15:10Z,42.37178252317008,-71.08780432908087,16.14226236397046,25.629294184513196
1619309710916,2021-04-25T00:15:10Z,42.37177441413828,-71.0879292996052,3.940258312225339,65
1619309818886,2021-04-25T00:16:58Z,42.37180128771981,-71.08795640835743,3.940258312225339,1030.7415301685787
1619309819151,2021-04-25T00:16:59Z,42.37183104031812,-71.08790698798201,3.940258312225339,65
1619309820169,2021-04-25T00:17:00Z,42.37186296073124,-71.087911418179,3.940258312225339,65
1619309826297,2021-04-25T00:17:06Z,42.371826837265736,-71.0879551473832,3.940258312225339,65
1619309826705,2021-04-25T00:17:06Z,42.37184076255378,-71.08796868409964,3.940258312225339,65
1619309826733,2021-04-25T00:17:06Z,42.37187191141945,-71.08792088526438,3.9290486432621528,54.44491296358853
1619309827736,2021-04-25T00:17:07Z,42.371878590348594,-71.08792463972215,3.938418160764488,54.716208946895485
1619309828738,2021-04-25T00:17:08Z,42.37188052288114,-71.08791733648404,3.944287210100548,55.3641178269577
1619309829738,2021-04-25T00:17:09Z,42.371892730846206,-71.08790843362934,3.931425831317764,31.618619600888376
1619309830738,2021-04-25T00:17:10Z,42.37189782924585,-71.08790321804372,3.943540542319642,30.290623439175643
1619309831738,2021-04-25T00:17:11Z,42.371908090302064,-71.08790853709542,3.931734894312818,28.92609807091336
1619309832737,2021-04-25T00:17:12Z,42.37191617777408,-71.08790001045743,3.934157214398464,35.90249569491246
1619309833728,2021-04-25T00:17:13Z,42.371874757300525,-71.08788650158397,3.9422647064963634,39.781274591280024
1619309834688,2021-04-25T00:17:14Z,42.3718610951081,-71.08790886456595,3.94429023030278,26.145558642426803
1619309835638,2021-04-25T00:17:15Z,42.37183295470045,-71.08789781890559,3.948854026469945,20.789561058226205
1619309836588,2021-04-25T00:17:16Z,42.3717999332383,-71.08789108409916,3.9418722351796376,19.64705270854645
1619309837538,2021-04-25T00:17:17Z,42.37177533465768,-71.0878787766327,3.9402810921698865,18.756669857113643
1619309838488,2021-04-25T00:17:18Z,42.37174820062833,-71.08786193781481,3.9402937516848624,17.953751224688883
1619309839438,2021-04-25T00:17:19Z,42.37174820062856,-71.08786193781481,3.9402937898412342,17.953751224688883
1619309840388,2021-04-25T00:17:20Z,42.37174820062856,-71.08786193781481,3.9402937898412342,17.419058721056224
1619309841338,2021-04-25T00:17:21Z,42.37174820062856,-71.08786193781481,3.9402937898412342,17.16872177846166
1619309842288,2021-04-25T00:17:22Z,42.37174820062856,-71.08786193781481,3.9402937898412342,16.909107652994656
1619309843238,2021-04-25T00:17:23Z,42.37174820062856,-71.08786193781481,3.9402937898412342,16.620581080701147
1619309844188,2021-04-25T00:17:24Z,42.37174820062856,-71.08786193781481,3.9402937898412342,16.14117196727432
1619309845138,2021-04-25T00:17:25Z,42.37174820062856,-71.08786193781481,3.9402937898412342,15.719320242769411
1619309846088,2021-04-25T00:17:26Z,42.37174820062856,-71.08786193781481,3.9402937898412342,15.362513646584146
1619309847038,2021-04-25T00:17:27Z,42.37174820062856,-71.08786193781481,3.9402937898412342,15.26869442864428
1619309848000,2021-04-25T00:17:28Z,42.37174820062856,-71.08786193781481,3.9402937898412342,17.07219796004157
1619309849000,2021-04-25T00:17:29Z,42.37174820062856,-71.08786193781481,3.9402937898412342,15.08796278148152
1619309850000,2021-04-25T00:17:30Z,42.37174820062856,-71.08786193781481,3.9402937898412342,14.999994952707196
1619309851000,2021-04-25T00:17:31Z,42.37174820062856,-71.08786193781481,3.9402937898412342,14.916873443693
1619309852000,2021-04-25T00:17:32Z,42.37174820062856,-71.08786193781481,3.9402937898412342,14.870910897968733
1619309853000,2021-04-25T00:17:33Z,42.371668105441955,-71.08787855954877,3.961146862246096,14.840410806729762
1619309854000,2021-04-25T00:17:34Z,42.37166770383644,-71.0878813794302,3.9525134190917015,14.80490027050464
1619309855000,2021-04-25T00:17:35Z,42.3716651005498,-71.08788001174526,3.945603118278086,14.77746504710856
1619309856000,2021-04-25T00:17:36Z,42.371656012823166,-71.08788010632182,3.938924740999937,14.754149394111376
1619309857000,2021-04-25T00:17:37Z,42.371656012823166,-71.08788010632182,3.938924740999937,14.539178761564738
1619309858000,2021-04-25T00:17:38Z,42.371656012823166,-71.08788010632182,3.938924740999937,14.439159512454015
1619309859000,2021-04-25T00:17:39Z,42.37175618209636,-71.08792413878422,4.243033193051815,14.36525026745342
1619309860000,2021-04-25T00:17:40Z,42.37175618209636,-71.08792413878422,4.243033193051815,5.093345244302516
1619309861000,2021-04-25T00:17:41Z,42.37175618209636,-71.08792413878422,4.243033193051815,5.094433885729846
1619309862000,2021-04-25T00:17:42Z,42.37175618209636,-71.08792413878422,4.243033193051815,5.121752110004711
1619309863000,2021-04-25T00:17:43Z,42.37175618209636,-71.08792413878422,4.243033193051815,4.997003452648411
1619309864000,2021-04-25T00:17:44Z,42.37175618209636,-71.08792413878422,4.243033193051815,4.992757944905803
1619309865000,2021-04-25T00:17:45Z,42.37175618209636,-71.08792413878422,4.243033193051815,14.327548101372138
1619309866000,2021-04-25T00:17:46Z,42.37175618209636,-71.08792413878422,4.243033193051815,14.326223685959668
1619309867000,2021-04-25T00:17:47Z,42.37175618209636,-71.08792413878422,4.243033193051815,14.324630723470484
1619309868000,2021-04-25T00:17:48Z,42.37175618209636,-71.08792413878422,4.243033193051815,14.323292159149853
1619309869000,2021-04-25T00:17:49Z,42.37175618209636,-71.08792413878422,4.243033193051815,14.321389051783685
